date,sales,temperature,marketing_spend,product_category,store_location,day_of_week,is_weekend,month,year,quarter
2020-02-06,145.78,28.0,1331.48,Electronics,North,Thursday,0,February,2020,Q1
2020-02-07,120.83,32.6,1399.42,Clothing,Central,Friday,0,February,2020,Q1
2020-02-08,137.94,25.6,1342.21,Home,South,Saturday,1,February,2020,Q1
2020-02-09,169.86,29.8,1388.25,Clothing,East,Sunday,1,February,2020,Q1
2020-02-10,184.79,29.4,857.01,Home,East,Monday,0,February,2020,Q1
2020-02-11,220.63,31.8,1200.99,Clothing,North,Tuesday,0,February,2020,Q1
2020-02-12,152.39,32.5,1196.04,Clothing,East,Wednesday,0,February,2020,Q1
2020-02-13,132.0,30.9,1055.02,Electronics,East,Thursday,0,February,2020,Q1
2020-02-14,113.13,29.2,1191.71,Electronics,South,Friday,0,February,2020,Q1
2020-02-15,128.08,31.9,1384.23,Electronics,Central,Saturday,1,February,2020,Q1
2020-02-16,144.47,34.7,992.77,Clothing,West,Sunday,1,February,2020,Q1
2020-02-17,166.94,30.8,1068.76,Sports,East,Monday,0,February,2020,Q1
2020-02-18,152.58,30.2,1217.3,Sports,East,Tuesday,0,February,2020,Q1
2020-02-19,112.8,32.4,894.49,Electronics,West,Wednesday,0,February,2020,Q1
2020-02-20,115.36,31.5,651.3,Electronics,East,Thursday,0,February,2020,Q1
2020-02-21,102.21,27.5,919.79,Electronics,South,Friday,0,February,2020,Q1
2020-02-22,108.48,32.4,324.93,Clothing,South,Saturday,1,February,2020,Q1
2020-02-23,137.7,27.8,275.37,Clothing,West,Sunday,1,February,2020,Q1
2020-02-24,152.31,33.1,772.71,Clothing,East,Monday,0,February,2020,Q1
2020-02-25,147.67,29.8,209.61,Electronics,East,Tuesday,0,February,2020,Q1
2020-02-26,115.14,32.4,389.64,Electronics,Central,Wednesday,0,February,2020,Q1
2020-02-27,106.14,33.6,552.41,Electronics,East,Thursday,0,February,2020,Q1
2020-02-28,110.47,40.0,461.71,Electronics,South,Friday,0,February,2020,Q1
2020-02-29,129.87,35.0,555.92,Home,North,Saturday,1,February,2020,Q1
2020-03-01,135.04,37.0,789.56,Electronics,North,Sunday,1,March,2020,Q1
2020-03-02,151.28,38.6,598.3,Clothing,North,Monday,0,March,2020,Q1
2020-03-03,140.66,34.6,368.54,Home,North,Tuesday,0,March,2020,Q1
2020-03-04,126.43,34.1,795.36,Sports,East,Wednesday,0,March,2020,Q1
2020-03-05,132.9,30.2,229.08,Sports,East,Thursday,0,March,2020,Q1
2020-03-06,136.11,33.1,551.97,Home,Central,Friday,0,March,2020,Q1
2020-03-07,133.8,31.4,194.72,Electronics,East,Saturday,1,March,2020,Q1
2020-03-08,162.49,32.5,550.77,Home,North,Sunday,1,March,2020,Q1
2020-03-09,166.87,39.4,436.58,Sports,West,Monday,0,March,2020,Q1
2020-03-10,152.28,34.3,719.19,Electronics,West,Tuesday,0,March,2020,Q1
2020-03-11,145.4,31.4,651.73,Clothing,South,Wednesday,0,March,2020,Q1
2020-03-12,139.62,38.2,397.42,Sports,South,Thursday,0,March,2020,Q1
2020-03-13,117.55,37.0,368.68,Clothing,East,Friday,0,March,2020,Q1
2020-03-14,141.42,37.3,473.39,Electronics,West,Saturday,1,March,2020,Q1
2020-03-15,113.59,28.3,925.72,Electronics,North,Sunday,1,March,2020,Q1
2020-03-16,155.22,40.3,890.8,Clothing,North,Monday,0,March,2020,Q1
2020-03-17,140.25,32.8,391.83,Electronics,North,Tuesday,0,March,2020,Q1
2020-03-18,116.97,36.9,766.04,Home,East,Wednesday,0,March,2020,Q1
2020-03-19,101.58,42.2,282.14,Home,East,Thursday,0,March,2020,Q1
2020-03-20,73.51,41.1,563.2,Electronics,Central,Friday,0,March,2020,Q1
2020-03-21,98.94,31.8,493.09,Sports,North,Saturday,1,March,2020,Q1
2020-03-22,119.45,30.4,919.96,Clothing,North,Sunday,1,March,2020,Q1
2020-03-23,139.41,39.1,476.9,Electronics,East,Monday,0,March,2020,Q1
2020-03-24,114.11,35.3,851.13,Sports,East,Tuesday,0,March,2020,Q1
2020-03-25,94.72,33.4,796.77,Sports,Central,Wednesday,0,March,2020,Q1
2020-03-26,81.94,36.8,793.9,Home,Central,Thursday,0,March,2020,Q1
2020-03-27,92.64,34.4,1196.5,Sports,South,Friday,0,March,2020,Q1
2020-03-28,98.56,37.1,1247.98,Home,West,Saturday,1,March,2020,Q1
2020-03-29,108.79,35.2,901.53,Sports,North,Sunday,1,March,2020,Q1
2020-03-30,131.9,37.2,895.94,Clothing,North,Monday,0,March,2020,Q1
2020-03-31,126.03,32.3,698.63,Home,Central,Tuesday,0,March,2020,Q1
2020-04-01,121.43,39.3,1034.03,Books,Central,Wednesday,0,April,2020,Q2
2020-04-02,91.45,37.1,1460.25,Home,South,Thursday,0,April,2020,Q2
2020-04-03,93.61,36.9,1078.21,Electronics,West,Friday,0,April,2020,Q2
2020-04-04,105.85,31.6,1283.57,Clothing,South,Saturday,1,April,2020,Q2
2020-04-05,114.22,40.1,891.51,Home,West,Sunday,1,April,2020,Q2
2020-04-06,143.92,34.9,1116.41,Electronics,North,Monday,0,April,2020,Q2
2020-04-07,140.48,37.1,1327.23,Books,South,Tuesday,0,April,2020,Q2
2020-04-08,122.46,33.9,1286.13,Electronics,Central,Wednesday,0,April,2020,Q2
2020-04-09,103.98,35.7,1458.83,Electronics,South,Thursday,0,April,2020,Q2
2020-04-10,87.24,35.7,1200.86,Books,South,Friday,0,April,2020,Q2
2020-04-11,106.31,26.3,997.33,Clothing,North,Saturday,1,April,2020,Q2
2020-04-12,122.17,36.5,1595.99,Electronics,Central,Sunday,1,April,2020,Q2
2020-04-13,125.61,40.6,1206.78,Home,Central,Monday,0,April,2020,Q2
2020-04-14,124.95,36.3,1515.84,Home,East,Tuesday,0,April,2020,Q2
2020-04-15,111.45,31.7,1523.18,Electronics,East,Wednesday,0,April,2020,Q2
2020-04-16,106.92,36.5,1116.65,Books,East,Thursday,0,April,2020,Q2
2020-04-17,82.15,37.6,1673.42,Clothing,North,Friday,0,April,2020,Q2
2020-04-18,90.08,35.9,1362.21,Home,South,Saturday,1,April,2020,Q2
2020-04-19,100.59,34.1,1496.16,Clothing,Central,Sunday,1,April,2020,Q2
2020-04-20,89.76,33.5,1420.77,Home,Central,Monday,0,April,2020,Q2
2020-04-21,102.03,33.4,1821.78,Electronics,South,Tuesday,0,April,2020,Q2
2020-04-22,84.98,36.2,1768.39,Electronics,Central,Wednesday,0,April,2020,Q2
2020-04-23,91.67,29.7,1137.23,Clothing,South,Thursday,0,April,2020,Q2
2020-04-24,60.18,32.8,1949.03,Sports,North,Friday,0,April,2020,Q2
2020-04-25,75.51,38.6,1356.74,Electronics,North,Saturday,1,April,2020,Q2
2020-04-26,89.7,38.6,1905.64,Home,North,Sunday,1,April,2020,Q2
2020-04-27,89.98,29.1,1424.29,Sports,South,Monday,0,April,2020,Q2
2020-04-28,110.57,30.1,1395.41,Electronics,South,Tuesday,0,April,2020,Q2
2020-04-29,92.81,32.5,1399.93,Electronics,West,Wednesday,0,April,2020,Q2
2020-04-30,79.7,35.9,1352.85,Clothing,Central,Thursday,0,April,2020,Q2
2020-05-01,61.2,27.6,1919.4,Home,Central,Friday,0,May,2020,Q2
2020-05-02,97.62,32.8,1378.73,Electronics,West,Saturday,1,May,2020,Q2
2020-05-03,89.38,31.4,1311.11,Clothing,West,Sunday,1,May,2020,Q2
2020-05-04,122.39,36.7,1362.73,Home,North,Monday,0,May,2020,Q2
2020-05-05,136.58,27.5,1127.93,Home,West,Tuesday,0,May,2020,Q2
2020-05-06,90.77,32.7,1613.32,Electronics,South,Wednesday,0,May,2020,Q2
2020-05-07,80.53,31.1,970.74,Clothing,East,Thursday,0,May,2020,Q2
2020-05-08,83.93,36.5,1111.93,Sports,South,Friday,0,May,2020,Q2
2020-05-09,88.72,33.7,1390.7,Books,West,Saturday,1,May,2020,Q2
2020-05-10,94.98,30.0,1179.48,Sports,Central,Sunday,1,May,2020,Q2
2020-05-11,120.74,34.2,1247.66,Home,South,Monday,0,May,2020,Q2
2020-05-12,103.73,30.3,1410.59,Clothing,Central,Tuesday,0,May,2020,Q2
2020-05-13,101.08,34.3,1270.35,Clothing,South,Wednesday,0,May,2020,Q2
2020-05-14,68.68,30.4,1062.37,Electronics,Central,Thursday,0,May,2020,Q2
2020-05-15,86.32,34.1,1417.87,Electronics,South,Friday,0,May,2020,Q2
2020-05-16,70.37,32.1,839.45,Home,Central,Saturday,1,May,2020,Q2
2020-05-17,88.79,40.4,910.35,Electronics,East,Sunday,1,May,2020,Q2
2020-05-18,107.43,30.3,889.96,Electronics,North,Monday,0,May,2020,Q2
2020-05-19,79.73,31.4,841.7,Books,South,Tuesday,0,May,2020,Q2
2020-05-20,75.55,28.6,615.15,Electronics,East,Wednesday,0,May,2020,Q2
2020-05-21,67.96,29.9,479.9,Electronics,North,Thursday,0,May,2020,Q2
2020-05-22,32.69,21.5,848.7,Electronics,South,Friday,0,May,2020,Q2
2020-05-23,59.73,30.8,608.35,Home,East,Saturday,1,May,2020,Q2
2020-05-24,76.75,33.3,1087.67,Home,East,Sunday,1,May,2020,Q2
2020-05-25,92.35,30.2,664.1,Clothing,East,Monday,0,May,2020,Q2
2020-05-26,68.5,24.9,602.37,Clothing,West,Tuesday,0,May,2020,Q2
2020-05-27,52.85,26.2,847.3,Sports,Central,Wednesday,0,May,2020,Q2
2020-05-28,57.03,21.1,686.43,Sports,North,Thursday,0,May,2020,Q2
2020-05-29,52.81,31.1,550.38,Books,Central,Friday,0,May,2020,Q2
2020-05-30,78.94,25.0,438.84,Sports,Central,Saturday,1,May,2020,Q2
2020-05-31,86.37,27.7,1282.14,Home,Central,Sunday,1,May,2020,Q2
2020-06-01,89.68,27.1,608.77,Electronics,East,Monday,0,June,2020,Q2
2020-06-02,97.74,31.8,741.36,Electronics,Central,Tuesday,0,June,2020,Q2
2020-06-03,85.41,27.3,310.26,Electronics,West,Wednesday,0,June,2020,Q2
2020-06-04,62.19,29.3,392.0,Home,South,Thursday,0,June,2020,Q2
2020-06-05,86.28,28.3,925.21,Sports,East,Friday,0,June,2020,Q2
2020-06-06,116.81,30.5,779.69,Clothing,North,Saturday,1,June,2020,Q2
2020-06-07,86.79,25.4,591.83,Electronics,South,Sunday,1,June,2020,Q2
2020-06-08,116.71,31.5,426.42,Clothing,South,Monday,0,June,2020,Q2
2020-06-09,96.54,19.7,460.79,Books,South,Tuesday,0,June,2020,Q2
2020-06-10,97.9,28.0,379.63,Home,Central,Wednesday,0,June,2020,Q2
2020-06-11,84.75,22.6,293.1,Sports,Central,Thursday,0,June,2020,Q2
2020-06-12,59.31,23.5,721.18,Sports,East,Friday,0,June,2020,Q2
2020-06-13,85.7,26.4,658.37,Books,Central,Saturday,1,June,2020,Q2
2020-06-14,94.87,26.2,714.2,Sports,Central,Sunday,1,June,2020,Q2
2020-06-15,,26.1,518.1,Home,Central,Monday,0,June,2020,Q2
2020-06-16,110.58,19.8,657.12,Electronics,East,Tuesday,0,June,2020,Q2
2020-06-17,70.34,28.1,542.02,Electronics,East,Wednesday,0,June,2020,Q2
2020-06-18,46.54,20.8,507.21,Clothing,West,Thursday,0,June,2020,Q2
2020-06-19,38.45,20.9,1012.02,Electronics,West,Friday,0,June,2020,Q2
2020-06-20,47.48,24.9,730.41,Books,West,Saturday,1,June,2020,Q2
2020-06-21,70.14,21.9,836.53,Electronics,West,Sunday,1,June,2020,Q2
2020-06-22,83.59,23.4,932.42,Sports,South,Monday,0,June,2020,Q2
2020-06-23,78.13,15.7,823.44,Clothing,South,Tuesday,0,June,2020,Q2
2020-06-24,67.67,22.8,877.12,Clothing,West,Wednesday,0,June,2020,Q2
2020-06-25,44.23,22.4,644.86,Books,West,Thursday,0,June,2020,Q2
2020-06-26,55.74,19.9,716.82,Clothing,North,Friday,0,June,2020,Q2
2020-06-27,50.95,15.0,740.85,Clothing,South,Saturday,1,June,2020,Q2
2020-06-28,100.26,20.3,1086.21,Electronics,North,Sunday,1,June,2020,Q2
2020-06-29,92.69,20.6,1014.18,Home,North,Monday,0,June,2020,Q2
2020-06-30,76.9,19.3,855.67,Electronics,Central,Tuesday,0,June,2020,Q2
2020-07-01,62.25,14.7,1185.61,Home,East,Wednesday,0,July,2020,Q3
2020-07-02,65.37,24.7,1212.65,Home,South,Thursday,0,July,2020,Q3
2020-07-03,118.7,17.7,998.83,Home,West,Friday,0,July,2020,Q3
2020-07-04,80.87,18.7,1165.44,Home,West,Saturday,1,July,2020,Q3
2020-07-05,98.56,11.9,1312.8,Clothing,East,Sunday,1,July,2020,Q3
2020-07-06,106.28,23.7,1063.06,Clothing,South,Monday,0,July,2020,Q3
2020-07-07,96.55,17.2,1378.2,Sports,West,Tuesday,0,July,2020,Q3
2020-07-08,75.55,18.7,1354.1,Clothing,West,Wednesday,0,July,2020,Q3
2020-07-09,71.31,21.5,1121.55,Clothing,Central,Thursday,0,July,2020,Q3
2020-07-10,113.86,15.8,1391.29,Clothing,North,Friday,0,July,2020,Q3
2020-07-11,84.45,20.5,1444.7,Sports,West,Saturday,1,July,2020,Q3
2020-07-12,86.1,11.2,1268.81,Clothing,South,Sunday,1,July,2020,Q3
2020-07-13,109.49,18.7,1305.06,Clothing,East,Monday,0,July,2020,Q3
2020-07-14,105.68,21.5,1231.33,Home,Central,Tuesday,0,July,2020,Q3
2020-07-15,74.95,14.8,1359.6,Home,South,Wednesday,0,July,2020,Q3
2020-07-16,67.06,19.7,1461.18,Electronics,Central,Thursday,0,July,2020,Q3
2020-07-17,59.51,21.6,1366.62,Clothing,North,Friday,0,July,2020,Q3
2020-07-18,55.63,15.1,1188.17,Home,West,Saturday,1,July,2020,Q3
2020-07-19,85.46,14.6,1354.69,Books,South,Sunday,1,July,2020,Q3
2020-07-20,96.06,12.6,1413.8,Home,East,Monday,0,July,2020,Q3
2020-07-21,95.58,13.6,1663.06,Clothing,North,Tuesday,0,July,2020,Q3
2020-07-22,78.29,12.4,1618.65,Electronics,North,Wednesday,0,July,2020,Q3
2020-07-23,37.56,11.9,1664.51,Sports,Central,Thursday,0,July,2020,Q3
2020-07-24,37.93,18.0,1344.6,Sports,North,Friday,0,July,2020,Q3
2020-07-25,63.77,11.8,1513.46,Electronics,South,Saturday,1,July,2020,Q3
2020-07-26,82.25,14.7,990.92,Electronics,Central,Sunday,1,July,2020,Q3
2020-07-27,94.83,13.8,1549.38,Home,North,Monday,0,July,2020,Q3
2020-07-28,126.66,17.9,1571.58,Clothing,East,Tuesday,0,July,2020,Q3
2020-07-29,81.01,11.7,1362.69,Clothing,South,Wednesday,0,July,2020,Q3
2020-07-30,74.22,14.1,1473.6,Electronics,East,Thursday,0,July,2020,Q3
2020-07-31,72.02,15.1,1091.02,Electronics,East,Friday,0,July,2020,Q3
2020-08-01,83.44,17.0,1211.36,Clothing,Central,Saturday,1,August,2020,Q3
2020-08-02,94.78,10.7,1500.42,Home,West,Sunday,1,August,2020,Q3
2020-08-03,119.89,10.2,1423.64,Clothing,Central,Monday,0,August,2020,Q3
2020-08-04,104.02,8.7,1211.52,Clothing,South,Tuesday,0,August,2020,Q3
2020-08-05,96.7,18.3,1427.23,Electronics,South,Wednesday,0,August,2020,Q3
2020-08-06,81.09,15.6,1262.4,Clothing,Central,Thursday,0,August,2020,Q3
2020-08-07,84.89,11.1,1102.52,Electronics,West,Friday,0,August,2020,Q3
2020-08-08,119.44,16.8,1134.44,Clothing,Central,Saturday,1,August,2020,Q3
2020-08-09,95.75,10.5,1046.74,Home,South,Sunday,1,August,2020,Q3
2020-08-10,132.27,12.8,867.2,Electronics,West,Monday,0,August,2020,Q3
2020-08-11,104.97,10.4,1320.92,Electronics,South,Tuesday,0,August,2020,Q3
2020-08-12,99.74,11.4,921.27,Electronics,West,Wednesday,0,August,2020,Q3
2020-08-13,98.23,10.9,833.53,Clothing,West,Thursday,0,August,2020,Q3
2020-08-14,82.24,8.5,659.25,Sports,Central,Friday,0,August,2020,Q3
2020-08-15,79.49,12.9,403.22,Electronics,Central,Saturday,1,August,2020,Q3
2020-08-16,98.16,11.6,1036.34,Books,Central,Sunday,1,August,2020,Q3
2020-08-17,120.59,12.3,1020.9,Electronics,West,Monday,0,August,2020,Q3
2020-08-18,100.39,10.0,1067.6,Sports,West,Tuesday,0,August,2020,Q3
2020-08-19,92.21,6.2,766.82,Clothing,South,Wednesday,0,August,2020,Q3
2020-08-20,73.2,13.9,700.87,Home,East,Thursday,0,August,2020,Q3
2020-08-21,61.16,7.8,633.5,Clothing,Central,Friday,0,August,2020,Q3
2020-08-22,99.26,9.5,622.8,Clothing,South,Saturday,1,August,2020,Q3
2020-08-23,101.43,10.1,902.56,Sports,South,Sunday,1,August,2020,Q3
2020-08-24,86.22,9.2,647.37,Sports,North,Monday,0,August,2020,Q3
2020-08-25,105.67,10.7,704.04,Clothing,Central,Tuesday,0,August,2020,Q3
2020-08-26,83.38,11.0,517.59,Electronics,South,Wednesday,0,August,2020,Q3
2020-08-27,85.3,7.0,849.65,Electronics,North,Thursday,0,August,2020,Q3
2020-08-28,67.93,12.4,186.04,Sports,Central,Friday,0,August,2020,Q3
2020-08-29,88.89,6.5,306.5,Clothing,West,Saturday,1,August,2020,Q3
2020-08-30,116.14,8.2,612.35,Clothing,North,Sunday,1,August,2020,Q3
2020-08-31,134.47,5.9,874.59,Home,West,Monday,0,August,2020,Q3
2020-09-01,113.92,4.9,469.83,Sports,East,Tuesday,0,September,2020,Q3
2020-09-02,110.85,10.0,339.12,Home,East,Wednesday,0,September,2020,Q3
2020-09-03,97.54,16.1,702.87,Sports,East,Thursday,0,September,2020,Q3
2020-09-04,95.33,5.5,565.04,Sports,East,Friday,0,September,2020,Q3
2020-09-05,133.35,10.1,758.35,Clothing,South,Saturday,1,September,2020,Q3
2020-09-06,139.61,5.4,244.67,Electronics,East,Sunday,1,September,2020,Q3
2020-09-07,135.72,6.2,749.93,Sports,South,Monday,0,September,2020,Q3
2020-09-08,154.97,11.4,205.16,Clothing,South,Tuesday,0,September,2020,Q3
2020-09-09,152.08,2.8,466.84,Books,Central,Wednesday,0,September,2020,Q3
2020-09-10,125.62,1.9,618.96,Electronics,South,Thursday,0,September,2020,Q3
2020-09-11,95.73,5.6,587.81,Electronics,South,Friday,0,September,2020,Q3
2020-09-12,115.87,7.8,779.11,Books,East,Saturday,1,September,2020,Q3
2020-09-13,149.27,7.1,220.15,Home,South,Sunday,1,September,2020,Q3
2020-09-14,138.54,6.7,634.2,Clothing,West,Monday,0,September,2020,Q3
2020-09-15,144.16,5.7,868.36,Sports,East,Tuesday,0,September,2020,Q3
2020-09-16,129.71,7.9,664.53,Home,North,Wednesday,0,September,2020,Q3
2020-09-17,94.98,-3.3,450.14,Clothing,East,Thursday,0,September,2020,Q3
2020-09-18,97.88,3.1,907.61,Electronics,South,Friday,0,September,2020,Q3
2020-09-19,75.26,5.0,605.38,Sports,West,Saturday,1,September,2020,Q3
2020-09-20,113.55,7.4,600.4,Sports,East,Sunday,1,September,2020,Q3
2020-09-21,131.36,9.7,606.6,Electronics,West,Monday,0,September,2020,Q3
2020-09-22,117.38,2.5,789.25,Sports,North,Tuesday,0,September,2020,Q3
2020-09-23,131.0,9.5,898.79,Sports,North,Wednesday,0,September,2020,Q3
2020-09-24,85.82,3.7,642.22,Clothing,Central,Thursday,0,September,2020,Q3
2020-09-25,93.58,4.7,717.68,Home,Central,Friday,0,September,2020,Q3
2020-09-26,112.43,6.8,826.23,Clothing,East,Saturday,1,September,2020,Q3
2020-09-27,145.75,4.4,809.0,Electronics,Central,Sunday,1,September,2020,Q3
2020-09-28,131.13,8.3,1042.23,Home,West,Monday,0,September,2020,Q3
2020-09-29,156.96,3.8,1141.83,Sports,Central,Tuesday,0,September,2020,Q3
2020-09-30,133.74,3.8,1148.73,Home,West,Wednesday,0,September,2020,Q3
2020-10-01,112.26,8.2,1182.89,Clothing,Central,Thursday,0,October,2020,Q4
2020-10-02,126.9,2.7,1505.21,Electronics,Central,Friday,0,October,2020,Q4
2020-10-03,139.03,5.8,1288.11,Electronics,Central,Saturday,1,October,2020,Q4
2020-10-04,152.06,0.0,1391.53,Clothing,South,Sunday,1,October,2020,Q4
2020-10-05,172.88,10.5,1182.04,Electronics,South,Monday,0,October,2020,Q4
2020-10-06,167.29,8.7,1482.69,Home,Central,Tuesday,0,October,2020,Q4
2020-10-07,158.92,13.3,1228.92,Clothing,West,Wednesday,0,October,2020,Q4
2020-10-08,150.43,9.1,1429.62,Sports,East,Thursday,0,October,2020,Q4
2020-10-09,156.85,1.8,1097.3,Clothing,North,Friday,0,October,2020,Q4
2020-10-10,139.83,7.2,1427.25,Home,South,Saturday,1,October,2020,Q4
2020-10-11,190.68,2.5,1219.44,Clothing,Central,Sunday,1,October,2020,Q4
2020-10-12,159.87,10.0,1620.22,Electronics,North,Monday,0,October,2020,Q4
2020-10-13,172.75,2.0,1624.57,Electronics,South,Tuesday,0,October,2020,Q4
2020-10-14,162.86,1.9,1370.27,Electronics,East,Wednesday,0,October,2020,Q4
2020-10-15,142.22,0.6,1885.44,Sports,West,Thursday,0,October,2020,Q4
2020-10-16,127.23,4.0,1427.97,Electronics,Central,Friday,0,October,2020,Q4
2020-10-17,140.08,3.5,1170.0,Home,East,Saturday,1,October,2020,Q4
2020-10-18,152.57,1.9,1341.44,Books,South,Sunday,1,October,2020,Q4
2020-10-19,160.65,11.7,1290.87,Sports,Central,Monday,0,October,2020,Q4
2020-10-20,169.73,7.4,1575.62,Electronics,North,Tuesday,0,October,2020,Q4
2020-10-21,148.18,7.1,1250.19,Books,West,Wednesday,0,October,2020,Q4
2020-10-22,121.58,10.7,1384.56,Electronics,South,Thursday,0,October,2020,Q4
2020-10-23,133.77,6.8,1548.06,Clothing,West,Friday,0,October,2020,Q4
2020-10-24,139.41,3.9,1503.26,Sports,Central,Saturday,1,October,2020,Q4
2020-10-25,163.2,1.2,1461.06,Home,East,Sunday,1,October,2020,Q4
2020-10-26,174.18,4.0,1474.6,Clothing,West,Monday,0,October,2020,Q4
2020-10-27,158.29,11.0,1358.91,Electronics,North,Tuesday,0,October,2020,Q4
2020-10-28,148.39,2.8,1093.77,Clothing,South,Wednesday,0,October,2020,Q4
2020-10-29,149.29,7.8,1314.64,Clothing,North,Thursday,0,October,2020,Q4
2020-10-30,147.81,9.9,1465.32,Clothing,West,Friday,0,October,2020,Q4
2020-10-31,156.24,7.8,1319.94,Books,East,Saturday,1,October,2020,Q4
2020-11-01,178.95,8.3,1399.69,Books,East,Sunday,1,November,2020,Q4
2020-11-02,205.26,9.2,1176.54,Sports,North,Monday,0,November,2020,Q4
2020-11-03,253.49,8.5,1463.83,Clothing,Central,Tuesday,0,November,2020,Q4
2020-11-04,185.46,12.3,723.47,Home,Central,Wednesday,0,November,2020,Q4
2020-11-05,165.23,4.5,1231.66,Books,East,Thursday,0,November,2020,Q4
2020-11-06,163.58,8.5,1440.79,Sports,North,Friday,0,November,2020,Q4
2020-11-07,189.35,2.5,1437.36,Clothing,North,Saturday,1,November,2020,Q4
2020-11-08,205.12,1.9,1057.59,Electronics,North,Sunday,1,November,2020,Q4
2020-11-09,216.32,8.0,804.35,Electronics,West,Monday,0,November,2020,Q4
2020-11-10,217.25,10.1,1308.17,Home,Central,Tuesday,0,November,2020,Q4
2020-11-11,188.05,13.5,989.63,Home,Central,Wednesday,0,November,2020,Q4
2020-11-12,177.77,16.0,933.33,Sports,West,Thursday,0,November,2020,Q4
2020-11-13,162.29,12.9,751.84,Electronics,South,Friday,0,November,2020,Q4
2020-11-14,177.42,11.3,646.07,Electronics,West,Saturday,1,November,2020,Q4
2020-11-15,187.98,9.8,974.95,Clothing,North,Sunday,1,November,2020,Q4
2020-11-16,198.73,4.9,962.96,Clothing,West,Monday,0,November,2020,Q4
2020-11-17,197.55,9.2,836.94,Electronics,North,Tuesday,0,November,2020,Q4
2020-11-18,165.64,13.7,612.46,Home,East,Wednesday,0,November,2020,Q4
2020-11-19,177.26,12.7,522.04,Clothing,North,Thursday,0,November,2020,Q4
2020-11-20,140.97,6.4,419.66,Home,Central,Friday,0,November,2020,Q4
2020-11-21,148.75,12.3,566.5,Clothing,West,Saturday,1,November,2020,Q4
2020-11-22,189.43,12.2,451.5,Clothing,North,Sunday,1,November,2020,Q4
2020-11-23,196.79,11.9,286.57,Clothing,South,Monday,0,November,2020,Q4
2020-11-24,192.08,10.9,736.26,Sports,East,Tuesday,0,November,2020,Q4
2020-11-25,177.93,13.2,321.67,Electronics,South,Wednesday,0,November,2020,Q4
